relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
1	0.0	1	0	0	0	0	0	0	36	5	0.58
1	1.38	5	0	0	4	0	1	0	23	8	0.37
1	0.0	2	0	8	0	0	0	0	5	1	0.18
1	2.0	2	0	0	4	0	0	0	42	2	0.55
1	1.5	5	0	0	4	0	1	0	65	6	0.59
1	1.0	2	0	0	0	0	0	0	1	1	0.25
1	1.75	5	0	0	4	0	1	0	22	4	0.56
1	2.0	2	0	0	2	0	0	0	10	1	0.71
1	1.38	5	0	0	4	0	1	0	28	8	0.41
1	2.0	2	0	0	8	0	0	0	8	4	0.57
1	4.43	4	6	6	0	0	0	0	83	7	0.42
1	4.14	4	15	0	109	0	76	0	164	109	0.42
1	0.0	1	0	0	0	0	0	0	10	1	0.56
1	1.7	3	5	6	0	0	2	0	90	23	0.55
1	2.0	2	0	0	6	0	0	0	13	3	0.81
1	0.0	1	0	0	0	0	0	0	124	95	0.53
1	2.0	2	0	0	8	0	0	0	28	4	0.54
1	2.0	2	0	0	12	0	0	0	26	6	0.63
1	4.69	4	12	12	0	0	0	0	81	13	0.45
1	2.0	2	0	0	4	0	0	0	19	2	0.7
1	0.0	1	0	0	0	0	0	0	9	8	0.53
1	2.5	5	0	0	4	0	1	0	9	2	0.45
1	0.27	3	0	0	0	0	0	0	80	56	0.62
1	0.0	2	0	0	0	0	1	0	27	1	0.5
1	2.0	2	0	0	10	0	0	0	22	5	0.51
1	0.0	1	0	0	0	0	0	0	24	1	0.47
1	4.0	4	3	3	0	0	0	0	92	4	0.42
1	0.0	1	0	0	0	0	0	0	18	1	0.47
1	0.0	1	0	0	0	0	0	0	9	2	0.6
1	0.0	2	2	6	0	0	0	0	1	1	0.05
1	0.0	1	0	0	0	0	0	0	43	5	0.6
1	0.0	1	0	0	0	0	0	0	131	1	0.55
1	1.33	5	0	0	4	0	1	0	22	9	0.25
1	4.43	4	6	6	0	0	0	0	82	7	0.44
1	4.0	4	3	3	0	0	0	0	68	4	0.37
1	0.0	1	0	0	0	0	0	0	47	1	0.47
1	1.5	5	0	0	4	0	1	0	74	6	0.37
1	2.0	2	0	0	4	0	0	0	4	2	0.57
1	2.0	2	0	0	8	0	0	0	6	4	0.55
1	1.0	2	0	0	0	0	0	0	66	7	0.43
1	1.43	5	0	0	4	0	1	0	28	7	0.36
1	2.0	2	0	0	14	0	0	0	15	7	0.6
1	0.0	1	0	0	0	0	0	0	80	1	0.51
1	0.0	2	0	0	0	0	1	0	8	1	0.44
1	0.0	1	0	0	0	0	0	0	73	1	0.46
1	0.3	3	0	0	0	0	0	0	79	56	0.56
1	0.0	1	0	0	0	0	0	0	38	1	0.38
1	0.29	3	1	0	0	0	1	0	19	7	0.31
1	2.0	2	0	0	4	0	0	0	13	2	0.72
1	0.75	2	0	3	0	0	0	0	51	4	0.65
1	4.6	4	9	9	0	0	0	0	97	10	0.37
1	2.0	2	0	0	18	0	0	0	23	9	0.61
1	2.0	5	0	0	4	0	1	0	27	3	0.4
1	4.67	4	11	11	0	0	0	0	93	12	0.5
1	2.0	2	6	6	0	0	0	0	79	6	0.45
1	0.0	1	0	0	0	0	0	0	45	7	0.56
1	1.6	5	0	0	4	0	1	0	31	5	0.48
1	0.0	1	0	0	0	0	0	0	14	4	0.78
1	0.0	1	0	0	0	0	0	0	59	1	0.53
1	2.0	2	0	0	12	0	0	0	27	6	0.57
1	2.0	2	0	0	14	0	0	0	25	7	0.71
1	0.0	2	0	15	0	0	0	0	16	1	0.16
1	0.0	2	0	6	0	0	0	0	12	1	0.22
1	2.0	2	0	0	8	0	0	0	10	4	0.62
