relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr
0	7	0	0	9	4	0	13	0	104	86	24	23
1	10	10	0	2	0	9	9	1	35	1	0	1
0	5	0	0	8	4	0	0	8	96	4	4	2
1	3	0	0	0	0	0	0	0	5	16	0	5
1	3	0	0	0	0	0	0	0	53	62	0	31
1	6	0	1	1	0	0	1	0	17	4	4	4
1	4	7	0	0	0	0	0	0	16	40	40	40
0	6	1	1	0	0	0	1	0	5	1	0	1
0	3	0	0	0	0	0	0	0	2	1	0	1
1	3	0	0	0	0	0	0	0	54	76	0	38
1	10	0	3	1	0	0	5	0	40	8	8	8
1	6	0	3	1	0	0	5	0	39	7	7	7
0	3	0	0	0	0	0	0	0	8	3	3	3
1	3	0	0	0	0	0	0	0	9	32	0	16
0	7	0	0	13	6	0	20	0	137	128	26	23
0	4	0	0	0	0	0	0	0	3	4	0	2
0	6	0	0	9	0	0	2	0	4	3	0	1
0	5	0	0	10	0	0	3	0	4	15	0	5
1	4	0	0	0	0	0	0	0	9	21	31	31
0	6	0	0	13	6	0	21	0	198	116	24	21
0	6	0	0	13	6	0	21	0	141	80	18	15
1	6	0	2	1	0	0	6	0	40	8	8	8
0	7	0	0	13	6	0	20	0	109	86	19	16
0	15	0	1	0	6	0	0	1	20	9	0	7
0	5	0	0	3	1	0	1	0	5	3	3	2
0	7	0	0	13	6	0	23	0	160	128	26	23
1	6	2	0	1	0	0	2	0	32	22	0	6
1	10	0	3	1	0	0	7	0	50	11	11	11
1	4	0	0	10	0	0	0	0	6	10	10	10
1	6	0	1	1	0	0	2	0	23	4	4	4
1	10	0	2	1	0	0	5	0	33	8	8	8
0	6	0	0	11	5	0	19	0	118	62	16	14
0	5	0	0	0	0	13	0	0	27	12	12	12
0	11	14	1	2	0	12	14	2	39	1	0	1
1	10	0	3	1	0	0	5	0	41	9	9	9
1	10	0	3	1	0	0	10	0	43	9	9	9
0	7	1	0	10	0	0	2	0	15	4	4	2
1	6	0	3	1	0	0	4	0	38	7	7	7
1	4	0	0	0	0	0	1	0	45	79	0	40
1	3	0	0	0	0	0	0	0	1	5	0	3
1	6	0	3	1	0	0	7	0	42	9	9	9
0	15	0	3	0	5	0	0	1	16	9	0	7
0	7	0	0	13	6	0	19	0	140	128	26	23
0	5	0	0	10	0	0	9	0	2	15	0	5
0	11	9	1	2	0	6	9	2	37	1	0	1
1	4	0	0	0	0	15	0	0	47	39	39	39
1	3	0	0	0	0	0	0	0	139	104	0	52
0	7	0	0	14	6	0	21	0	162	128	26	23
1	3	0	0	0	0	0	0	0	58	52	0	26
1	3	0	0	0	0	0	0	0	12	34	0	17
0	3	15	0	0	0	0	0	0	9	30	1	16
1	6	0	3	1	0	0	10	0	39	8	8	8
1	5	0	0	0	0	0	0	0	1	2	0	1
1	10	0	3	1	0	0	7	0	37	7	7	7
1	3	0	0	0	0	0	0	0	111	94	0	47
0	6	15	11	80	7	0	5	0	121	90	6	16
1	10	0	3	1	0	0	5	0	38	7	7	7
0	5	1	1	0	0	0	0	1	37	1	0	1
1	6	0	3	1	0	0	6	0	40	8	8	8
0	6	0	0	13	6	0	23	0	210	116	24	21
0	6	0	0	14	6	0	23	0	211	134	27	24
1	4	0	2	0	0	0	0	0	46	64	84	84
0	5	2	0	2	0	0	0	0	1	2	0	1
1	2	0	0	0	0	0	0	0	18	28	0	14
1	3	0	0	0	0	0	0	0	103	88	107	107
1	4	0	0	0	0	0	1	0	34	71	0	36
1	6	2	0	1	0	0	2	0	27	24	0	6
0	5	0	0	0	1	10	0	0	20	2	0	1
1	4	0	0	0	0	0	1	0	47	75	0	38
1	3	0	0	0	0	0	0	0	7	20	0	5
0	6	2	0	3	0	0	2	0	34	2	1	3
1	3	0	0	0	0	0	0	0	19	34	0	17
0	14	2	0	5	5	0	0	0	16	7	0	5
1	4	0	0	0	0	0	1	0	29	71	0	36
0	6	0	0	13	6	0	21	0	180	122	25	22
1	4	7	0	0	0	0	0	0	24	48	48	48
0	6	0	3	6	3	0	0	6	93	3	3	2
1	6	0	3	1	0	0	5	0	37	6	6	6
1	6	0	3	1	0	0	4	0	29	5	5	5
1	1	0	0	0	0	0	0	0	0	0	0	0
1	6	2	0	1	0	0	2	0	41	32	0	8
0	7	0	0	9	4	0	12	0	128	86	24	23
1	10	0	3	1	0	0	7	0	43	9	9	9
0	5	1	5	0	0	0	0	1	26	1	0	1
1	6	3	0	2	0	0	1	0	29	2	2	2
0	3	23	0	0	0	0	0	0	26	46	1	24
1	3	0	0	0	0	0	0	0	26	26	0	13
0	6	0	0	14	6	0	22	0	124	80	18	15
0	3	23	0	0	0	0	0	0	27	46	1	24
0	5	0	0	0	0	9	0	0	24	12	12	12
0	7	0	0	11	5	0	15	0	94	72	18	16
0	7	0	0	12	4	0	8	22	74	4	4	2
0	5	1	2	0	1	0	0	1	46	2	0	2
1	10	0	3	1	0	0	5	0	35	7	7	7
0	14	1	0	5	5	0	0	0	12	7	0	5
0	7	0	0	13	6	0	19	0	151	128	26	23
1	10	0	4	1	0	0	9	0	42	8	8	8
0	6	0	3	9	3	0	6	6	136	3	3	2
0	6	0	0	13	6	0	20	0	115	140	28	25
1	10	0	3	1	0	0	5	0	26	5	5	5
1	10	0	2	1	0	0	7	0	37	8	8	8
0	11	0	0	0	0	7	8	0	11	5	0	3
0	7	0	0	11	5	0	16	0	150	107	25	23
0	5	0	4	1	2	0	0	0	15	3	0	1
1	6	0	2	1	0	0	5	0	35	7	7	7
1	10	0	3	1	0	0	5	0	29	5	5	5
1	2	0	0	0	0	0	0	0	29	38	0	19
0	3	0	0	0	0	0	0	0	22	14	14	14
0	11	11	1	3	0	6	9	2	37	1	0	1
0	6	0	0	14	6	0	22	0	220	116	24	21
1	10	0	3	1	0	0	5	0	32	6	6	6
0	8	0	5	0	2	0	0	0	18	2	0	2
0	3	0	0	0	0	0	0	0	23	16	16	16
1	6	2	0	1	0	0	2	0	43	24	0	6
0	7	0	0	13	6	0	19	0	144	128	26	23
0	11	0	1	0	4	0	0	1	20	6	0	4
1	6	2	0	1	0	0	2	0	31	28	0	7
0	4	0	0	1	1	0	0	0	0	1	0	1
0	7	0	0	13	6	0	22	0	158	128	26	23
0	7	0	0	14	6	0	23	0	168	128	26	23
0	6	0	0	13	6	0	22	0	228	116	24	21
0	6	0	0	13	6	0	21	0	192	116	24	21
0	7	0	0	13	6	0	23	0	140	86	19	16
1	4	0	0	0	0	0	1	0	44	77	0	39
1	6	0	2	1	0	0	6	0	29	4	4	4
1	4	0	0	0	0	0	0	0	17	31	42	42
0	8	0	0	0	0	7	7	0	7	4	0	2
1	3	0	0	0	0	0	0	0	95	78	97	97
0	11	1	0	6	3	0	0	0	14	4	0	2
0	6	0	0	13	6	0	21	0	126	152	30	27
0	7	0	0	14	6	0	24	0	117	86	19	16
0	6	0	0	12	5	0	18	0	119	67	17	15
1	3	0	0	0	0	0	0	0	48	73	0	37
0	3	1	2	0	0	0	0	0	1	2	1	2
1	4	0	0	0	0	0	1	0	127	77	0	39
1	10	0	3	1	0	0	6	0	51	12	12	12
0	7	0	0	13	6	0	16	0	101	86	19	16
1	10	0	3	1	0	0	6	0	33	7	7	7
1	6	2	0	1	0	0	2	0	24	8	0	2
0	7	1	2	0	0	0	1	0	2	1	0	1
0	5	0	0	1	1	0	0	1	14	1	0	1
0	3	0	0	2	0	0	0	0	3	1	1	2
1	2	0	0	0	0	0	0	0	22	30	0	15
1	10	0	3	1	0	0	7	0	38	8	8	8
1	4	0	0	0	0	0	1	0	69	75	0	38
1	6	3	0	2	0	0	1	0	61	2	2	2
1	6	2	0	1	0	0	2	0	28	16	0	4
0	7	0	0	13	6	0	19	0	150	128	26	23
1	4	0	0	11	0	0	0	0	40	11	11	11
1	6	2	0	1	0	0	2	0	47	22	0	6
0	3	14	0	0	0	0	0	0	8	28	1	15
1	4	0	0	0	0	14	0	0	42	38	38	38
0	7	0	0	9	4	0	11	0	96	86	24	23
0	7	0	0	14	6	0	24	0	143	80	18	15
1	10	0	3	1	0	0	6	0	30	5	5	5
1	2	0	8	0	0	7	0	0	8	0	0	0
0	4	0	22	0	6	0	0	0	38	12	0	3
1	6	2	0	1	0	0	2	0	24	18	0	5
0	7	0	0	13	6	0	19	0	131	128	26	23
1	10	0	2	1	0	0	5	0	31	8	8	8
0	6	2	0	3	0	0	2	0	30	2	1	3
1	6	0	2	1	0	0	5	0	36	7	7	7
0	5	0	3	6	3	0	0	6	53	3	3	2
1	3	0	0	0	0	0	0	0	103	73	0	37
1	10	0	3	1	0	0	5	0	30	5	5	5
0	5	1	0	0	0	0	0	1	35	1	0	1
0	7	0	0	11	5	0	17	0	136	107	25	23
1	6	2	0	1	0	0	2	0	31	30	0	8
0	6	0	0	13	6	0	23	0	130	152	30	27
0	7	0	0	14	6	0	24	0	142	80	18	15
1	6	0	2	1	0	0	4	0	25	4	4	4
1	3	0	0	0	0	0	0	0	90	96	0	48
1	4	0	0	0	0	0	0	1	6	42	0	21
0	3	20	0	0	0	0	0	0	22	40	1	21
0	3	6	0	0	0	0	0	0	12	12	1	7
0	7	0	0	13	6	0	21	0	106	86	19	16
0	4	0	0	0	0	0	0	0	0	1	0	1
0	7	0	0	13	6	0	20	0	147	128	26	23
0	5	0	0	12	1	0	1	0	9	12	3	5
0	7	0	0	13	6	0	20	0	155	128	26	23
0	14	1	1	5	5	0	0	0	16	7	0	5
1	3	0	0	0	0	0	0	0	34	40	0	20
1	3	0	0	0	0	0	0	0	7	30	0	15
0	1	0	0	0	0	0	0	0	0	0	0	0
0	7	0	3	0	1	0	0	1	16	3	0	3
0	5	2	2	0	0	0	0	2	66	1	0	1
1	6	0	3	1	0	0	4	0	37	7	7	7
1	3	0	0	0	0	0	0	0	116	102	121	121
0	7	0	0	13	6	0	22	0	178	128	26	23
0	7	0	0	9	4	0	14	0	46	26	9	8
1	4	0	0	5	0	0	0	0	6	5	5	5
1	6	2	0	1	0	0	2	0	33	16	0	4
0	7	0	0	13	6	0	23	0	156	128	26	23
0	7	0	0	13	6	0	18	0	136	128	26	23
0	3	1	0	0	0	0	0	0	10	2	1	2
1	10	0	2	1	0	0	6	0	31	7	7	7
0	7	1	0	0	1	0	0	0	2	2	0	2
1	3	0	0	0	0	0	0	0	39	19	19	19
0	3	0	0	0	0	0	0	0	1	0	5	1
0	7	0	0	13	6	0	20	0	148	128	26	23
0	7	0	0	13	6	0	22	0	150	128	26	23
1	3	0	0	0	0	0	0	0	10	36	0	18
1	3	0	0	0	0	0	0	0	35	69	0	35
1	6	1	0	0	0	0	0	0	3	6	0	3
0	7	0	0	13	6	0	22	0	159	128	26	23
0	5	0	6	0	1	0	0	0	32	2	0	1
0	7	0	0	13	6	0	22	0	166	128	26	23
1	6	0	2	1	0	0	5	0	32	8	8	8
1	6	2	0	1	0	0	2	0	36	24	0	6
1	6	3	0	2	0	0	1	0	35	2	2	2
1	6	2	0	1	0	0	2	0	39	30	0	8
0	5	0	0	0	0	6	0	0	19	12	12	12
0	7	49	0	0	0	0	0	49	4	50	0	7
0	7	0	0	13	6	0	22	0	153	128	26	23
0	11	0	0	0	3	0	0	1	27	6	0	4
0	6	0	0	14	6	0	23	0	118	80	18	15
0	4	0	0	1	0	0	2	0	1	2	0	1
0	6	0	0	3	0	0	1	0	10	4	0	1
0	7	0	0	14	6	0	22	0	219	128	26	23
0	7	0	0	9	4	0	13	0	101	34	11	10
1	10	0	3	1	0	0	7	0	28	5	5	5
1	4	0	0	0	0	0	1	0	40	61	0	31
1	6	0	3	1	0	0	7	0	53	7	7	7
1	4	0	0	0	0	0	1	0	46	67	0	34
0	7	0	0	13	6	0	21	0	156	128	26	23
1	4	0	0	10	0	0	0	0	28	10	10	10
0	3	4	6	0	0	0	0	0	12	8	1	5
1	3	0	0	0	0	0	0	0	36	54	0	27
0	7	0	0	13	6	0	21	0	150	128	26	23
1	10	0	3	1	0	0	6	0	35	5	5	5
0	6	2	0	3	0	0	2	0	48	2	1	3
0	7	0	0	13	6	0	20	0	144	128	26	23
1	4	0	0	0	0	0	1	0	46	71	0	36
1	6	0	3	1	0	0	4	0	26	4	4	4
0	4	0	4	0	0	0	0	0	14	4	0	2
0	6	0	3	6	3	0	0	6	54	3	3	2
0	7	1	0	0	1	0	0	0	8	2	0	2
1	6	0	1	1	0	0	1	0	20	4	4	4
1	6	0	3	1	0	0	4	0	33	7	7	7
0	7	0	0	13	6	0	19	0	141	128	26	23
1	10	0	3	1	0	0	7	0	27	4	4	4
0	6	0	0	10	0	0	3	0	4	15	0	5
0	7	0	0	13	6	0	21	0	164	128	26	23
1	6	0	3	1	0	0	5	0	28	4	4	4
0	5	0	0	0	0	5	0	0	25	12	12	12
0	7	0	0	13	6	0	22	0	156	128	26	23
1	6	2	0	1	0	0	2	0	26	14	0	4
0	11	8	1	2	0	6	7	2	28	1	0	1
1	3	0	0	0	0	0	0	0	18	24	0	7
1	6	0	1	1	0	0	1	0	19	4	4	4
0	3	0	0	0	0	0	0	0	8	5	5	5
1	6	2	0	1	0	0	2	0	32	28	0	7
1	6	2	0	1	0	0	2	0	31	24	0	6
0	3	0	0	0	0	0	0	0	5	2	2	2
1	10	0	3	1	0	0	5	0	40	9	9	9
0	7	0	0	11	5	0	16	0	104	102	24	22
0	3	0	0	0	0	0	0	0	0	15	0	5
0	7	1	0	0	1	0	0	0	10	2	0	2
0	7	0	0	11	5	0	17	0	114	102	24	22
1	4	0	0	0	0	0	0	0	15	28	28	28
1	6	2	0	1	0	0	2	0	42	32	0	8
0	5	0	0	0	0	3	0	0	20	12	12	12
0	5	21	20	0	0	0	0	0	70	60	0	20
1	3	1	0	0	0	1	0	1	14	0	0	0
1	3	0	0	0	0	49	0	0	62	0	0	0
0	3	1	0	0	0	0	0	0	6	2	1	2
1	10	0	2	1	0	0	8	0	38	8	8	8
0	7	0	0	13	6	0	17	0	104	86	19	16
1	10	0	4	1	0	0	8	0	42	9	9	9
0	6	0	0	13	6	0	23	0	131	80	18	15
1	6	0	1	1	0	0	1	0	26	7	7	7
1	6	3	0	2	0	0	1	0	39	2	2	2
1	8	0	0	0	0	1	8	0	14	14	0	7
0	7	0	0	11	5	0	18	0	142	107	25	23
0	5	0	3	6	3	0	0	6	37	3	3	2
0	10	2	0	5	3	0	0	0	9	4	0	2
1	3	0	0	0	0	0	0	0	9	28	0	14
1	3	0	0	0	0	0	0	0	9	18	0	5
1	6	2	0	1	0	0	2	0	42	24	0	6
0	5	0	0	11	0	0	1	0	8	5	5	2
0	5	15	60	0	0	0	0	0	221	5	0	1
1	4	7	0	0	0	0	0	0	28	53	53	53
0	5	4	6	0	0	0	0	4	98	1	0	1
1	10	0	3	1	0	0	8	0	44	9	9	9
0	3	1	0	0	0	0	0	0	9	2	1	2
0	7	0	0	13	6	0	19	0	149	128	26	23
0	14	1	0	5	5	0	0	0	7	7	0	5
0	3	5	0	0	0	0	0	0	4	10	1	6
0	7	0	0	13	6	0	22	0	157	128	26	23
0	10	1	0	5	3	0	0	0	7	4	0	2
0	5	0	3	6	3	0	0	6	34	3	3	2
1	6	0	3	1	0	0	6	0	37	9	9	9
0	7	0	0	13	6	0	21	0	159	128	26	23
0	6	2	0	3	0	0	2	0	64	2	1	3
1	6	0	3	1	0	0	5	0	31	5	5	5
1	4	0	0	10	0	0	0	0	5	10	10	10
1	4	0	0	0	0	0	1	0	32	69	0	35
1	3	0	0	0	0	0	0	0	14	22	0	6
1	6	0	1	1	0	0	1	0	30	8	8	8
0	6	0	3	6	3	0	0	15	141	3	3	2
1	3	0	0	0	0	0	0	0	2	2	0	1
1	4	7	0	0	0	0	0	0	21	46	46	46
0	7	2	0	19	0	0	3	0	33	10	5	3
0	5	0	0	0	0	8	0	0	28	12	12	12
0	5	1	0	2	0	0	0	0	9	1	1	2
1	3	0	0	0	0	0	0	0	49	46	0	23
1	6	2	0	1	0	0	2	0	32	16	0	4
1	6	2	0	1	0	0	2	0	30	26	0	7
0	5	3	0	3	0	0	0	0	4	2	0	1
1	10	0	5	1	0	0	14	0	55	9	9	9
1	3	0	0	0	0	0	0	0	66	64	0	32
0	11	13	0	2	0	12	16	2	43	1	0	1
0	7	1	3	6	1	0	1	0	2	1	0	1
1	3	0	0	0	0	0	0	0	42	69	0	35
0	4	3	3	1	0	0	2	0	11	5	0	4
1	6	0	4	1	0	0	15	0	46	5	5	5
1	4	0	0	0	0	0	1	0	46	69	0	35
1	3	0	0	0	0	0	0	0	8	20	0	6
0	10	1	0	5	3	0	0	0	15	4	0	2
0	6	0	0	14	6	0	24	0	132	80	18	15
0	7	0	0	13	6	0	22	0	151	128	26	23
1	6	3	0	2	0	0	1	0	30	2	2	2
0	10	1	0	5	3	0	0	0	13	4	0	2
1	10	0	3	1	0	0	7	0	42	9	9	9
0	10	9	9	0	0	0	9	0	21	18	0	12
1	4	0	0	11	0	0	0	0	7	11	11	11
1	6	1	0	0	0	0	0	0	2	2	0	1
1	6	2	0	1	0	0	2	0	33	28	0	7
0	6	0	0	10	0	0	9	0	2	15	0	5
0	6	2	0	3	0	0	2	0	247	2	1	3
0	5	0	0	1	2	0	0	0	0	1	0	1
0	7	0	0	13	6	0	21	0	148	128	26	23
1	4	0	0	11	0	0	0	0	30	11	11	11
1	4	0	0	0	0	2	0	0	18	30	30	30
1	3	0	0	0	0	0	0	0	32	24	0	7
0	4	6	0	0	0	0	0	0	39	28	0	7
0	4	0	0	0	1	0	3	0	9	2	0	1
0	6	2	0	3	0	0	2	0	38	2	1	3
1	10	0	3	1	0	0	5	0	34	7	7	7
1	10	0	2	1	0	0	6	0	33	7	7	7
1	5	1	0	0	0	0	1	0	4	2	0	1
0	7	0	0	13	6	0	22	0	127	86	19	16
0	5	0	0	0	0	7	0	0	29	12	12	12
1	4	0	0	0	0	6	0	0	32	54	54	54
0	7	0	0	9	4	0	12	0	66	26	9	8
1	10	0	2	1	0	0	3	0	27	6	6	6
1	4	0	0	0	0	0	1	0	43	69	0	35
0	6	43	132	0	0	0	0	0	578	5	0	1
1	3	0	0	0	0	56	0	0	58	0	0	0
1	8	0	0	0	0	1	8	0	18	10	0	5
0	14	1	0	5	5	0	0	0	13	7	0	5
0	6	0	3	9	3	0	6	6	112	3	3	2
0	7	2	0	16	0	0	3	0	32	8	4	3
1	2	0	0	0	0	0	0	0	32	40	0	20
1	10	0	3	1	0	0	9	0	39	7	7	7
1	4	0	2	0	0	0	0	0	44	20	30	30
1	6	2	0	1	0	0	2	0	28	24	0	6
1	5	0	0	0	0	0	0	0	0	2	0	1
1	6	0	3	1	0	0	4	0	34	7	7	7
1	10	0	2	1	0	0	4	0	26	6	6	6
