relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr
0	7	1	0	10	0	0	2	0	16	4	4	2
1	10	0	2	1	0	0	6	0	41	9	9	9
1	6	3	0	2	0	0	1	0	67	2	2	2
0	10	1	0	5	3	0	0	0	16	4	0	2
1	7	0	0	1	0	7	1	0	40	6	0	3
0	3	4	0	0	0	0	0	0	13	8	1	5
1	4	0	0	10	0	0	0	0	11	10	10	10
1	6	0	2	1	0	0	5	0	32	6	6	6
1	6	0	1	1	0	0	1	0	24	6	6	6
0	5	0	0	0	0	7	0	0	21	12	12	12
1	10	12	0	3	0	9	9	1	36	1	0	1
0	3	3	1	0	0	0	0	0	12	6	1	4
0	7	0	0	13	6	0	19	0	165	128	26	23
1	6	2	0	1	0	0	2	0	36	20	0	5
0	5	0	0	10	0	0	3	0	0	15	0	5
0	10	1	1	5	3	0	0	0	16	4	0	2
1	3	0	0	0	0	0	0	0	31	69	0	35
0	6	0	0	10	0	0	0	0	9	2	0	1
1	6	2	0	1	0	0	2	0	23	6	0	2
0	5	0	0	12	0	0	1	0	7	5	5	2
0	7	0	0	9	4	0	12	0	111	86	24	23
0	3	25	0	0	0	0	0	0	36	50	1	26
1	1	0	7	0	0	6	0	0	4	0	0	0
1	3	0	0	0	0	0	0	0	33	22	0	6
0	6	0	0	12	4	0	8	8	169	4	4	2
0	5	0	0	0	0	8	0	0	22	12	12	12
1	6	0	2	1	0	0	5	0	39	8	8	8
1	3	0	0	0	0	0	0	0	81	84	0	42
0	7	0	0	9	4	0	13	0	62	26	9	8
0	6	0	3	6	3	0	0	8	88	3	3	2
0	7	0	0	13	6	0	21	0	139	128	26	23
1	10	0	3	1	0	0	6	0	27	4	4	4
0	6	2	0	3	0	0	2	0	39	2	1	3
1	10	0	2	1	0	0	7	0	36	8	8	8
0	5	0	0	0	1	0	1	0	0	1	0	1
1	10	0	3	1	0	0	6	0	40	8	8	8
1	3	0	0	0	0	0	0	0	65	66	0	33
0	7	0	0	9	4	0	14	0	111	82	23	22
1	6	2	0	1	0	0	2	0	46	24	0	6
0	3	4	17	0	0	0	0	0	32	8	1	5
0	7	0	0	13	6	0	19	0	106	86	19	16
0	5	1	1	1	1	0	0	1	15	2	0	1
1	10	0	3	1	0	0	5	0	35	8	8	8
1	4	0	0	11	0	0	0	0	4	11	11	11
1	6	0	1	1	0	0	1	0	27	8	8	8
0	6	0	0	10	0	0	12	0	1	15	0	5
1	6	0	3	1	0	0	6	0	32	5	5	5
0	3	0	0	0	0	0	0	0	10	4	4	4
1	10	0	2	1	0	0	7	0	28	4	4	4
0	7	1	0	12	0	0	2	0	17	5	5	2
0	11	0	0	5	1	0	2	0	1	7	0	2
0	6	0	0	13	6	0	21	0	111	152	30	27
0	3	22	0	0	0	0	0	0	23	44	1	23
1	10	0	3	1	0	0	8	0	43	9	9	9
1	6	0	2	1	0	0	5	0	30	5	5	5
0	5	0	0	2	1	0	0	0	0	1	0	1
1	3	0	0	0	0	53	0	0	64	0	0	0
0	7	0	0	9	4	0	12	0	121	86	24	23
0	6	0	0	12	5	0	18	0	158	92	22	20
0	7	1	0	0	1	0	0	0	0	2	0	2
0	5	0	1	0	1	10	0	0	20	2	0	1
0	3	0	0	4	0	0	0	0	6	2	2	2
0	6	0	0	13	6	0	23	0	179	116	24	21
1	4	0	2	0	0	0	0	0	29	54	69	69
0	11	6	8	0	0	0	6	0	14	12	0	8
0	7	0	0	14	6	0	23	0	188	128	26	23
1	4	0	0	11	0	0	0	0	55	11	11	11
1	6	0	3	1	0	0	5	0	43	9	9	9
0	7	1	0	0	1	0	0	0	7	2	0	2
0	4	0	2	0	0	0	1	0	2	1	0	1
1	10	0	4	1	0	0	9	0	50	10	10	10
1	10	0	3	1	0	0	7	0	31	5	5	5
1	10	0	3	1	0	0	6	0	32	6	6	6
1	4	0	0	11	0	0	0	0	37	11	11	11
1	10	0	2	1	0	0	6	0	27	4	4	4
0	6	2	0	3	0	0	2	0	43	2	1	3
0	4	0	0	0	0	0	0	0	18	1	0	1
0	7	0	0	13	6	0	20	0	169	128	26	23
0	7	0	0	13	6	0	20	0	183	128	26	23
0	7	0	0	9	4	0	15	0	121	86	24	23
1	10	0	3	1	0	0	6	0	42	9	9	9
1	6	0	1	1	0	0	1	0	28	8	8	8
1	6	0	3	1	0	0	6	0	29	5	5	5
0	6	28	86	0	0	0	0	0	413	5	0	1
0	6	2	0	3	0	0	2	0	28	2	1	3
1	6	0	1	1	0	0	1	0	30	9	9	9
0	5	0	4	0	4	0	8	0	5	8	0	1
0	6	0	0	13	6	0	21	0	142	80	18	15
1	6	3	0	2	0	0	1	0	28	2	2	2
1	10	0	3	1	0	0	6	0	41	9	9	9
1	6	0	2	1	0	0	6	0	30	5	5	5
0	5	0	1	1	4	0	0	0	0	1	0	1
0	3	0	0	0	0	0	0	0	23	12	12	12
0	7	0	0	13	6	0	19	0	120	86	19	16
1	10	11	0	3	0	9	9	1	38	1	0	1
0	7	1	0	0	1	0	0	0	5	2	0	2
0	11	0	0	0	0	7	7	0	7	5	0	3
1	10	13	0	3	0	10	12	1	40	1	0	1
0	7	0	0	13	6	0	22	0	126	86	19	16
0	6	0	0	12	4	0	8	11	176	4	4	2
1	3	0	0	0	0	0	0	0	11	30	0	8
0	6	0	0	0	0	7	0	0	21	12	12	12
0	6	0	0	10	4	0	16	0	103	50	15	14
1	10	0	2	1	0	0	6	0	35	8	8	8
0	7	0	0	13	6	0	21	0	125	98	21	18
1	6	0	1	1	0	0	1	0	24	5	5	5
0	5	0	0	10	0	0	0	0	5	15	0	5
1	6	0	3	1	0	0	4	0	39	7	7	7
1	1	0	11	0	0	10	0	0	13	0	0	0
1	6	0	3	1	0	0	10	0	38	5	5	5
0	6	0	3	6	3	0	0	7	46	3	3	2
0	5	0	0	1	1	0	0	1	18	1	0	1
0	7	0	0	13	6	0	18	0	146	128	26	23
0	6	1	1	0	0	0	1	0	4	1	0	1
0	5	1	0	0	0	0	0	1	32	1	0	1
0	6	0	0	13	6	0	22	0	126	152	30	27
0	5	1	2	0	1	0	0	1	33	2	0	2
0	6	0	0	14	6	0	23	0	199	134	27	24
1	4	0	0	0	0	0	1	0	8	49	0	25
0	5	0	0	2	0	0	0	0	4	9	0	3
1	2	0	0	0	0	0	0	0	21	28	0	14
1	6	2	0	1	0	0	2	0	35	30	0	8
0	7	0	0	13	6	0	20	0	142	128	26	23
1	10	0	3	1	0	0	8	0	38	8	8	8
0	5	0	0	8	4	0	0	8	70	4	4	2
0	6	0	0	13	6	0	21	0	236	116	24	21
1	3	0	0	0	0	0	0	0	51	44	0	22
1	6	0	3	1	0	0	6	0	39	9	9	9
1	3	0	0	0	0	0	0	0	40	69	0	35
0	3	10	0	0	0	0	0	0	15	20	1	11
1	10	0	2	1	0	0	6	0	31	5	5	5
1	3	0	0	0	0	0	0	0	13	30	0	15
0	7	0	0	13	6	0	20	0	137	122	25	22
1	4	0	0	0	0	0	1	0	42	67	0	34
1	4	0	0	0	0	0	1	0	50	71	0	36
1	10	0	2	1	0	0	6	0	31	6	6	6
1	10	0	3	1	0	0	5	0	43	9	9	9
0	6	0	0	0	0	0	1	0	4	8	0	4
0	7	0	0	9	4	0	14	0	108	82	23	22
1	1	0	6	0	0	5	0	0	8	0	0	0
1	4	0	0	0	0	14	0	0	42	37	37	37
0	6	0	0	14	6	0	20	0	125	80	18	15
1	10	0	3	1	0	0	6	0	36	8	8	8
0	7	0	0	13	6	0	21	0	141	128	26	23
1	4	0	0	0	0	6	0	0	32	55	55	55
0	6	0	0	13	6	0	22	0	221	122	25	22
1	6	0	3	1	0	0	7	0	39	8	8	8
1	4	7	0	0	0	0	0	0	29	55	55	55
0	5	0	0	0	0	6	0	0	28	12	12	12
0	6	1	1	0	0	0	1	0	1	1	0	1
1	6	0	1	1	0	0	2	0	28	7	7	7
1	4	0	0	17	0	0	0	0	8	17	17	17
0	6	0	0	14	6	0	24	0	140	68	16	13
1	6	0	1	1	0	0	2	0	23	5	5	5
0	8	0	0	7	0	0	1	0	0	4	0	1
0	7	0	0	13	6	0	21	0	144	128	26	23
1	6	0	3	1	0	0	4	0	39	8	8	8
1	3	0	0	0	0	0	0	0	8	14	0	4
1	10	0	4	1	0	0	7	0	44	9	9	9
0	7	0	0	13	6	0	20	0	152	128	26	23
0	11	0	2	0	3	0	0	1	18	6	0	4
0	5	0	0	4	0	27	27	0	13	7	0	1
1	4	0	0	10	0	0	0	0	3	10	10	10
0	3	4	11	0	0	0	0	0	18	8	1	5
0	6	0	0	13	6	0	22	0	220	116	24	21
1	3	0	0	0	0	0	0	0	25	30	0	15
0	10	1	0	5	3	0	0	0	6	4	0	2
0	7	1	0	13	0	0	2	0	18	5	5	2
0	7	0	0	9	4	0	14	0	110	86	24	23
0	3	0	0	0	0	0	0	0	14	2	2	2
1	4	0	0	7	0	0	0	0	4	7	7	7
0	5	0	6	0	1	0	0	0	15	2	0	1
1	4	0	0	0	0	9	0	0	40	49	49	49
0	5	0	0	0	0	0	0	1	26	1	0	1
1	6	0	1	1	0	0	2	0	26	5	5	5
1	6	3	0	2	0	0	1	0	40	2	2	2
1	8	0	0	0	0	1	8	0	19	10	0	5
1	10	0	1	1	0	0	2	0	18	4	4	4
0	5	0	0	8	0	0	0	8	106	4	4	2
0	11	0	0	5	1	0	2	0	9	7	0	2
0	7	0	0	0	1	0	0	1	27	3	0	3
0	7	0	0	13	6	0	22	0	149	128	26	23
0	5	0	0	0	5	0	10	0	50	50	22	12
0	3	4	0	0	0	0	0	0	3	8	1	5
1	4	0	0	0	0	0	0	0	12	32	44	44
0	4	0	1	2	0	0	0	0	6	1	1	2
0	5	4	10	0	1	0	0	0	17	2	0	1
0	5	1	0	0	0	0	0	1	25	1	0	1
0	6	0	0	13	6	0	22	0	221	116	24	21
0	7	0	0	9	4	0	14	0	104	86	24	23
0	6	2	0	3	0	0	2	0	41	2	1	3
1	2	0	0	0	0	0	0	0	25	34	0	17
1	4	0	0	0	0	0	0	28	23	28	0	14
1	6	0	3	1	0	0	7	0	32	4	4	4
1	3	0	0	0	0	0	0	0	68	70	0	35
0	7	3	6	0	3	0	4	0	6	3	0	3
1	2	0	0	0	0	0	0	0	32	36	0	18
1	3	0	0	0	0	0	0	0	42	67	0	34
1	6	0	2	1	0	0	3	0	30	7	7	7
0	7	0	0	9	4	0	13	0	100	74	21	20
0	3	10	0	0	0	0	0	0	14	20	1	11
1	6	2	0	1	0	0	2	0	30	18	0	5
0	6	0	0	14	6	0	22	0	123	80	18	15
0	5	4	4	0	4	0	4	0	59	8	0	2
1	2	0	0	0	0	0	0	0	26	36	0	18
1	3	0	0	0	0	0	0	0	0	3	0	2
0	7	0	0	11	5	0	18	0	136	107	25	23
1	6	2	0	1	0	0	2	0	26	12	0	3
0	5	0	0	8	4	0	0	8	27	4	4	2
1	10	0	2	1	0	0	6	0	37	9	9	9
0	15	0	0	0	5	0	0	0	16	9	0	7
0	3	10	0	0	0	0	0	0	18	20	1	11
1	3	0	0	0	0	0	0	0	41	67	0	34
0	7	0	0	9	4	0	13	0	125	86	24	23
0	7	0	0	9	4	0	13	0	120	86	24	23
1	3	0	0	0	0	0	0	0	28	30	0	15
1	6	2	0	1	0	0	2	0	25	14	0	4
1	3	0	0	0	0	0	0	0	18	20	0	6
1	10	0	3	1	0	0	6	0	40	9	9	9
0	7	0	0	13	6	0	21	0	118	86	19	16
1	3	0	0	0	0	0	0	0	18	30	0	8
1	6	2	0	1	0	0	2	0	36	16	0	4
0	6	0	0	4	0	0	0	0	7	6	0	1
1	3	0	0	0	0	0	0	0	45	73	0	37
1	4	0	0	0	0	3	0	0	36	49	49	49
1	3	0	0	0	0	0	0	0	10	24	0	7
0	7	0	0	13	6	0	21	0	154	128	26	23
1	4	0	0	8	0	0	0	0	6	8	8	8
0	5	1	0	2	0	0	0	0	3	15	0	5
0	4	0	0	0	1	0	0	0	0	2	0	2
0	6	0	0	13	6	0	22	0	197	122	25	22
0	11	10	0	2	0	9	15	2	34	1	0	1
0	2	0	0	0	0	0	0	0	0	0	0	2
1	6	0	3	1	0	0	4	0	28	4	4	4
1	4	0	0	0	0	0	1	0	29	57	0	29
1	6	2	0	1	0	0	2	0	27	18	0	5
0	14	1	0	5	5	0	0	0	16	7	0	5
0	4	0	0	0	0	0	0	0	1	1	0	1
1	3	0	0	0	0	0	0	0	1	2	0	1
1	4	0	0	0	0	0	0	0	38	64	78	78
0	6	1	1	0	0	0	1	0	3	1	0	1
1	6	0	2	1	0	0	5	0	29	5	5	5
1	10	0	5	1	0	0	14	0	53	9	9	9
0	6	0	0	14	6	0	22	0	142	68	16	13
1	4	0	0	0	0	0	1	0	47	73	0	37
1	4	0	0	11	0	0	0	0	9	11	11	11
1	10	11	0	3	0	9	9	1	34	1	0	1
1	6	0	3	1	0	0	5	0	32	5	5	5
1	4	0	0	0	0	0	1	0	41	69	0	35
0	6	0	0	13	6	0	21	0	115	80	18	15
1	10	0	3	1	0	0	8	0	45	9	9	9
1	6	0	3	1	0	0	6	0	38	7	7	7
0	7	0	0	13	6	0	21	0	140	128	26	23
0	7	0	0	13	6	0	23	0	167	128	26	23
0	5	1	0	0	0	0	1	0	3	4	0	2
1	6	0	2	1	0	0	4	0	33	8	8	8
1	10	0	3	1	0	0	6	0	45	9	9	9
1	3	0	0	0	0	0	0	0	36	40	0	20
0	6	0	0	12	0	0	0	0	9	2	0	1
1	4	0	0	11	0	0	0	0	3	11	11	11
1	6	0	2	1	0	0	2	0	32	8	8	8
0	7	0	0	14	6	0	20	0	159	128	26	23
0	6	0	0	10	0	0	15	0	0	15	0	5
1	10	0	3	1	0	0	5	0	39	8	8	8
1	6	2	0	1	0	0	2	0	38	16	0	4
0	3	0	0	0	0	0	0	0	9	4	4	4
1	6	2	0	1	0	0	2	0	39	24	0	6
0	4	0	0	0	1	0	2	0	5	2	0	1
0	19	6	1	31	30	0	0	0	82	48	0	32
0	3	0	0	0	0	0	1	0	4	1	0	1
1	3	0	0	0	0	0	0	0	13	30	0	8
1	3	0	0	0	0	0	0	0	54	80	99	99
1	2	0	0	0	0	0	0	0	35	38	0	19
1	10	0	3	1	0	0	5	0	38	8	8	8
0	6	3	0	6	0	0	0	0	40	14	0	2
1	6	0	3	1	0	0	5	0	34	6	6	6
0	7	1	0	0	1	0	0	0	6	2	0	2
0	3	21	0	0	0	0	0	0	23	42	1	22
1	4	0	2	0	0	0	0	0	43	25	34	34
1	4	0	0	11	0	0	0	0	44	11	11	11
1	10	0	4	1	0	0	10	0	62	11	11	11
0	6	0	0	13	6	0	22	0	229	116	24	21
1	6	0	3	1	0	0	4	0	40	9	9	9
0	4	0	0	13	0	0	0	0	13	17	0	4
1	10	0	3	1	0	0	10	0	31	4	4	4
1	8	0	0	0	0	1	8	0	15	10	0	5
0	14	1	0	5	5	0	0	0	11	7	0	5
1	4	0	0	0	0	0	0	0	19	51	62	62
1	1	0	11	0	0	10	0	0	12	0	0	0
1	4	0	0	0	0	0	1	0	48	69	0	35
0	11	6	0	2	0	4	6	2	28	1	0	1
1	3	0	0	0	0	0	0	0	42	71	0	36
0	3	23	0	0	0	0	0	0	33	46	1	24
1	10	0	3	1	0	0	5	0	35	6	6	6
1	6	0	2	1	0	0	5	0	36	8	8	8
1	6	2	0	1	0	0	2	0	26	16	0	4
1	2	0	0	0	0	0	0	0	20	32	0	16
0	7	0	0	13	6	0	19	0	135	128	26	23
1	10	0	3	1	0	0	5	0	42	9	9	9
0	7	0	1	0	2	0	0	1	20	3	0	3
0	6	0	0	12	4	0	8	10	217	4	4	2
0	7	0	0	13	6	0	17	0	132	128	26	23
0	3	1	1	0	0	0	0	0	1	2	1	2
1	4	0	0	0	0	0	1	0	45	71	0	36
1	3	0	0	0	0	0	0	0	39	53	0	27
0	7	0	0	13	6	0	19	0	160	128	26	23
0	3	0	0	2	0	0	0	0	4	1	1	2
0	7	1	0	0	1	0	0	0	3	2	0	2
1	6	2	0	1	0	0	2	0	27	20	0	5
0	6	1	0	4	0	0	1	0	12	2	2	2
1	4	0	0	0	0	0	0	0	13	25	36	36
0	6	0	3	9	3	0	6	6	96	3	3	2
0	8	0	1	7	0	0	1	0	1	6	0	1
0	5	0	0	0	0	14	0	0	28	12	12	12
0	3	21	0	0	0	0	0	0	28	42	1	22
1	6	2	0	1	0	0	2	0	36	22	0	6
1	6	0	2	1	0	0	5	0	27	4	4	4
0	5	0	0	0	0	9	0	0	19	12	12	12
0	3	0	0	0	0	0	0	0	3	1	1	1
1	10	0	3	1	0	0	5	0	33	7	7	7
0	6	0	3	9	3	0	6	12	85	3	3	2
1	6	0	3	1	0	0	4	0	37	8	8	8
0	5	0	0	0	0	4	0	0	25	12	12	12
0	7	0	0	14	6	0	24	0	162	86	19	16
0	6	2	0	3	0	0	2	0	58	2	1	3
0	4	2	0	0	0	0	0	32	3	24	4	7
0	7	0	0	14	6	0	23	0	179	128	26	23
1	6	2	0	1	0	0	2	0	25	18	0	5
0	3	3	0	0	0	0	0	0	2	6	1	4
1	4	7	0	0	0	0	0	0	25	47	47	47
0	5	0	0	8	0	0	0	8	83	4	4	2
1	6	0	2	1	0	0	7	0	34	5	5	5
1	3	0	0	0	0	0	0	0	5	14	0	4
0	3	0	0	0	0	0	0	0	7	3	3	3
0	7	0	0	13	6	0	19	0	143	128	26	23
1	10	0	3	1	0	0	11	0	37	5	5	5
0	7	0	0	13	6	0	20	0	162	128	26	23
0	3	4	10	0	0	0	0	0	22	8	1	5
1	6	2	0	1	0	0	2	0	51	24	0	6
0	6	0	0	11	5	0	17	0	104	127	29	27
1	4	0	0	0	0	0	1	0	45	73	0	37
1	10	0	2	1	0	0	5	0	35	9	9	9
0	6	0	0	14	6	0	22	0	182	116	24	21
1	6	0	1	1	0	0	1	0	20	5	5	5
1	6	3	0	2	0	0	1	0	25	2	2	2
1	4	0	0	19	0	0	0	0	11	19	19	19
0	7	0	0	11	5	0	16	0	130	107	25	23
0	4	0	0	1	1	0	0	0	4	3	0	1
0	7	0	0	13	6	0	22	0	155	128	26	23
1	4	0	0	8	0	0	0	0	4	8	8	8
0	5	0	0	19	0	0	1	0	13	10	5	3
0	4	4	12	0	1	0	0	0	34	2	0	1
1	4	0	0	0	0	0	0	0	167	282	0	141
0	4	0	0	0	4	0	0	0	0	4	0	2
1	4	0	0	0	0	0	1	0	44	69	0	35
0	6	0	0	4	3	0	1	0	5	1	0	1
0	6	0	0	13	6	0	21	0	175	116	24	21
0	7	0	0	13	6	0	20	0	117	86	19	16
0	6	0	0	14	6	0	23	0	135	80	18	15
1	6	2	0	1	0	0	2	0	33	18	0	5
1	10	9	0	2	0	8	9	1	33	1	0	1
1	10	0	3	1	0	0	5	0	41	8	8	8
0	3	6	0	0	0	0	0	0	5	12	1	7
1	3	0	0	0	0	0	0	0	29	71	0	36
0	7	0	0	0	1	0	0	0	16	3	0	3
0	9	0	0	12	0	0	2	0	5	3	0	1
1	6	0	1	1	0	0	2	0	24	5	5	5
0	7	0	0	13	6	0	21	0	138	128	26	23
1	6	0	2	1	0	0	6	0	38	8	8	8
0	3	4	4	0	0	0	0	0	8	8	1	5
1	10	0	2	1	0	0	7	0	33	7	7	7
1	3	0	0	0	0	0	0	0	8	22	0	6
0	3	4	0	0	0	0	0	0	9	8	1	5
0	7	0	0	9	4	0	15	0	72	58	17	16
0	3	28	0	0	0	0	0	0	35	56	1	29
1	3	0	0	0	0	0	0	0	46	64	0	32
0	8	0	0	0	0	7	8	0	11	4	0	2
1	3	0	0	0	0	0	0	0	9	26	0	7
0	6	1	0	0	1	0	0	0	0	2	0	2
0	6	2	0	3	0	0	2	0	133	2	1	3
0	7	2	0	16	0	0	3	0	38	8	4	3
1	6	2	0	1	0	0	2	0	32	18	0	5
0	7	0	0	14	6	0	19	0	191	128	26	23
0	5	0	0	1	1	0	0	0	0	1	0	1
0	6	0	0	4	3	0	1	0	10	1	0	1
0	7	0	0	15	1	0	1	0	13	10	2	6
0	5	0	0	10	0	0	1	0	7	4	4	2
1	6	0	3	1	0	0	5	0	36	6	6	6
1	3	0	0	0	0	0	0	0	32	46	0	23
1	4	0	0	10	0	0	0	0	17	10	10	10
0	3	0	0	0	0	0	1	0	6	1	0	1
0	6	0	0	56	4	0	21	0	101	60	10	14
1	3	0	0	0	0	0	0	0	31	38	0	19
0	6	12	12	0	0	0	7	12	24	9	3	4
0	6	2	0	3	0	0	2	0	51	2	1	3
0	7	0	0	13	6	0	18	0	144	128	26	23
0	3	1	4	0	0	0	0	0	3	2	1	2
0	7	0	0	9	4	0	10	0	129	86	24	23
1	1	0	0	0	0	1	0	0	3	0	0	0
0	6	0	0	14	6	0	22	0	135	80	18	15
0	7	0	0	14	6	0	22	0	161	128	26	23
1	6	0	1	1	0	0	1	0	22	4	4	4
0	7	0	0	3	1	0	1	0	5	2	2	2
0	7	3	6	0	3	0	2	0	5	3	0	3
1	10	0	3	1	0	0	6	0	39	8	8	8
0	7	0	0	0	0	3	2	0	1	1	0	1
1	10	0	3	1	0	0	5	0	38	9	9	9
1	10	0	3	1	0	0	5	0	30	6	6	6
1	4	0	0	11	0	0	0	0	11	11	11	11
0	4	3	10	0	1	0	0	0	21	2	0	1
0	7	0	0	13	6	0	21	0	143	128	26	23
1	6	0	3	1	0	0	4	0	35	6	6	6
0	3	0	0	4	0	0	0	0	3	2	2	2
1	6	0	3	1	0	0	6	0	32	6	6	6
0	6	2	0	3	0	0	2	0	27	2	1	3
1	4	15	0	105	0	105	75	0	287	0	0	0
1	10	0	3	1	0	0	8	0	39	8	8	8
0	5	0	3	6	3	0	0	6	32	3	3	2
1	4	0	0	10	0	0	0	0	57	10	10	10
0	7	0	0	13	6	0	19	0	109	86	19	16
1	4	0	0	0	0	0	1	0	68	73	0	37
1	6	2	0	1	0	0	2	0	30	6	0	2
1	4	0	0	0	0	0	1	0	39	71	0	36
1	4	0	0	10	0	0	0	0	8	10	10	10
0	11	11	1	2	0	9	8	2	29	1	0	1
0	5	0	0	2	1	0	0	1	30	2	0	1
1	3	0	0	0	0	56	0	0	66	0	0	0
0	3	4	8	0	0	0	0	0	26	8	1	5
1	5	1	3	2	1	0	2	0	13	2	0	1
1	2	0	0	0	0	0	0	0	29	36	0	18
1	10	0	3	1	0	0	7	0	39	8	8	8
0	7	0	0	11	5	0	17	0	121	107	25	23
1	6	2	0	1	0	0	2	0	32	26	0	7
0	7	0	0	9	4	0	13	0	102	86	24	23
0	7	0	0	13	6	0	20	0	149	128	26	23
0	5	1	1	1	1	0	0	1	12	2	0	1
1	6	2	0	1	0	0	2	0	23	12	0	3
0	6	0	0	13	6	0	21	0	199	122	25	22
1	6	2	0	1	0	0	2	0	40	28	0	7
0	7	16	50	0	0	0	0	3	231	5	0	1
0	5	2	5	0	0	0	0	0	27	12	0	8
0	3	0	0	0	0	0	0	0	12	5	5	5
0	5	0	0	0	1	0	0	0	0	1	0	1
1	10	11	0	3	0	9	9	1	36	1	0	1
0	14	1	0	5	5	0	0	0	6	7	0	5
0	6	0	0	15	6	0	23	0	194	134	27	24
1	10	0	3	1	0	0	5	0	42	10	10	10
1	3	0	0	0	0	0	0	0	17	28	0	8
1	3	0	0	0	0	0	0	0	7	18	0	5
1	2	0	0	0	0	0	0	0	32	38	0	19
1	6	0	2	1	0	0	7	0	38	7	7	7
1	4	0	0	0	0	0	0	28	21	28	0	14
1	4	0	0	0	0	0	0	0	7	17	28	28
0	4	0	0	1	2	0	0	0	0	1	0	1
1	6	3	0	2	0	0	1	0	33	2	2	2
1	10	0	3	1	0	0	5	0	26	4	4	4
0	6	0	0	13	6	0	22	0	124	80	18	15
1	3	0	0	0	0	0	0	0	4	14	0	4
0	4	0	0	10	0	0	0	0	5	15	0	5
1	10	0	1	1	0	0	2	0	15	3	3	3
0	7	0	0	13	6	0	19	0	114	86	19	16
0	3	0	0	0	0	0	0	0	2	1	1	1
0	11	7	1	2	0	4	6	2	27	1	0	1
0	3	10	0	0	0	0	0	0	19	20	1	11
1	6	0	1	1	0	0	1	0	18	4	4	4
1	4	0	0	10	0	0	0	0	7	10	10	10
1	4	0	0	6	0	0	0	0	2	6	6	6
0	6	0	0	14	6	0	22	0	200	134	27	24
1	3	0	0	0	0	0	0	0	1	8	0	2
1	6	2	0	1	0	0	2	0	28	4	0	1
0	7	0	2	0	1	0	0	1	18	3	0	3
1	6	0	3	1	0	0	4	0	27	4	4	4
1	6	0	1	1	0	0	1	0	16	3	3	3
0	6	0	0	12	0	0	0	0	7	2	0	1
0	3	0	0	4	0	0	0	0	4	2	2	2
0	7	1	0	10	0	0	2	0	17	4	4	2
1	10	0	2	1	0	0	6	0	37	8	8	8
0	3	26	0	0	0	0	0	0	33	52	1	27
1	3	0	0	0	0	0	0	0	11	38	0	19
0	6	0	0	13	6	0	22	0	142	80	18	15
0	3	2	0	0	0	0	0	0	0	4	1	3
0	3	24	0	0	0	0	0	0	24	48	1	25
1	6	0	2	1	0	0	5	0	39	9	9	9
1	6	2	0	1	0	0	2	0	38	22	0	6
1	10	0	3	1	0	0	5	0	23	4	4	4
0	10	1	0	5	3	0	0	0	14	4	0	2
1	6	0	2	1	0	0	5	0	34	8	8	8
1	6	2	0	1	0	0	2	0	29	20	0	5
1	10	0	2	1	0	0	7	0	38	8	8	8
0	7	0	0	13	6	0	22	0	130	86	19	16
0	5	0	1	0	1	9	0	0	15	2	0	1
1	6	0	3	1	0	0	4	0	41	8	8	8
0	23	15	77	0	34	0	0	10	391	73	0	52
1	6	0	3	1	0	0	5	0	34	7	7	7
0	5	0	24	0	0	0	12	0	18	23	0	3
1	3	0	0	0	0	0	0	0	51	64	0	32
1	6	2	0	1	0	0	2	0	48	22	0	6
0	3	1	0	0	0	0	0	0	4	2	1	2
1	6	0	4	1	0	0	12	0	46	7	7	7
1	6	0	1	1	0	0	1	0	29	7	7	7
1	10	0	5	1	0	0	14	0	52	9	9	9
0	3	7	0	0	0	0	0	0	13	14	1	8
1	4	0	0	9	0	0	0	0	6	9	9	9
1	3	0	0	0	0	0	0	0	9	20	0	6
0	6	0	0	11	5	0	18	0	102	67	17	15
0	3	4	8	0	0	0	0	0	18	8	1	5
1	6	0	1	1	0	0	2	0	22	4	4	4
0	5	0	10	1	2	0	0	0	24	3	0	1
0	7	1	1	0	0	0	1	0	3	1	0	1
1	6	2	0	1	0	0	2	0	65	44	0	11
1	1	0	9	0	0	8	0	0	7	0	0	0
0	15	0	1	93	1	411	273	1	23	40	0	13
0	5	0	0	0	0	4	0	0	28	12	12	12
0	7	0	0	13	6	0	20	0	132	110	23	20
0	3	1	0	0	0	0	0	0	0	2	1	2
1	4	0	0	10	0	0	0	0	18	10	10	10
0	3	21	0	0	0	0	0	0	24	42	1	22
0	4	0	1	0	22	0	0	0	0	1	0	1
1	6	0	3	1	0	0	4	0	33	6	6	6
0	6	0	0	8	4	0	0	8	98	4	4	2
1	10	0	3	1	0	0	5	0	31	7	7	7
1	6	2	0	1	0	0	2	0	23	8	0	2
0	3	4	0	0	0	0	0	0	1	8	1	5
1	10	0	3	1	0	0	5	0	34	6	6	6
1	10	0	3	1	0	0	9	0	44	9	9	9
0	7	0	11	0	1	10	0	2	39	2	0	1
1	3	0	0	0	0	0	0	0	40	18	18	18
1	6	0	3	1	0	0	4	0	30	6	6	6
0	7	0	0	13	6	0	22	0	147	128	26	23
0	8	4	0	2	0	2	3	2	19	1	0	1
1	10	0	3	1	0	0	5	0	36	7	7	7
0	3	4	13	0	0	0	0	0	23	8	1	5
0	6	2	0	3	0	0	2	0	92	2	1	3
1	6	0	2	1	0	0	5	0	37	8	8	8
1	4	0	0	0	0	0	1	0	51	77	0	39
0	7	0	0	9	4	0	13	0	94	86	24	23
