relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
0	7	0	0	7	0	0	0	0	16	3	0	1	0.57
1	6	0	1	1	0	0	1	0	30	9	9	9	0.39
0	6	0	0	14	6	0	24	0	67	80	18	15	0.53
0	4	0	0	10	0	0	0	0	1	15	0	5	0.12
0	7	0	0	13	6	0	22	0	97	128	26	23	0.66
1	4	0	0	11	0	0	0	0	29	11	11	11	0.64
0	5	0	24	0	0	0	12	0	30	23	0	3	0.51
1	6	2	0	1	0	0	2	0	41	14	0	4	0.51
1	6	0	1	1	0	0	1	0	28	7	7	7	0.38
0	7	0	0	13	6	0	20	0	102	128	26	23	0.53
0	5	1	0	0	0	0	1	0	15	8	0	4	0.48
1	10	0	2	1	0	0	7	0	40	8	8	8	0.38
0	7	0	0	13	6	0	22	0	105	128	26	23	0.58
0	3	1	4	0	0	0	0	0	3	2	1	2	0.23
1	10	0	3	1	0	0	5	0	46	11	11	11	0.38
0	7	0	0	13	6	0	22	0	83	122	25	22	0.54
1	10	0	4	1	0	0	8	0	43	9	9	9	0.39
1	4	7	0	0	0	0	0	0	40	48	48	48	0.27
1	2	0	0	0	0	0	0	0	29	38	0	19	0.28
0	7	0	0	13	6	0	21	0	98	128	26	23	0.56
1	4	0	0	0	0	0	0	0	26	13	19	19	0.44
1	3	0	0	0	0	0	0	0	114	62	80	80	0.5
1	2	0	0	0	0	0	0	0	29	36	0	18	0.29
1	4	0	0	11	0	0	0	0	37	11	11	11	0.67
1	3	0	0	0	0	0	0	0	81	64	0	32	0.56
1	10	0	3	1	0	0	5	0	36	6	6	6	0.36
0	11	6	8	0	0	0	6	0	16	12	0	8	0.42
0	5	0	0	0	0	0	0	1	36	1	0	1	0.47
1	4	0	0	0	0	0	0	0	75	51	62	62	0.52
1	6	2	0	1	0	0	2	0	46	18	0	5	0.48
1	10	0	3	1	0	0	5	0	38	8	8	8	0.38
0	7	0	0	7	0	0	0	0	11	3	0	1	0.4
0	6	0	0	13	6	0	21	0	118	122	25	22	0.52
0	5	0	0	0	0	0	1	0	7	4	0	2	0.26
1	4	7	0	0	0	0	0	0	39	46	46	46	0.27
1	4	0	0	0	0	0	1	0	52	73	0	37	0.2
1	3	0	0	0	0	0	0	0	29	18	18	18	0.44
0	3	3	1	0	0	0	0	0	7	6	1	4	0.25
1	10	0	4	1	0	0	9	0	40	8	8	8	0.37
1	10	0	3	1	0	0	5	0	29	4	4	4	0.33
0	6	0	0	4	3	0	1	0	25	1	0	1	0.29
0	7	1	1	0	0	0	1	0	2	1	0	1	0.22
1	3	0	0	0	0	0	0	0	70	62	0	31	0.62
1	4	0	0	8	0	0	0	0	21	8	8	8	0.61
0	3	1	0	0	0	0	0	0	3	2	1	2	0.21
1	10	0	3	1	0	0	5	0	41	8	8	8	0.38
0	3	2	0	0	0	0	0	0	7	4	1	3	0.15
1	4	0	0	9	0	0	0	0	21	9	9	9	0.55
1	2	0	0	0	0	0	0	0	28	38	0	19	0.27
0	7	1	0	10	0	0	2	0	26	4	4	2	0.42
